weber_version,start_date,start_time,offset,trial,time,condition,sid,version,code,stimulus,spacing,phase,value,presentation
0.3.2,7/2/17,11:48:17,6,0,49.92140831,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.93882326,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,49.97215667,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.00717692,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.01528136,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.01528136,pilot,abin,0.3.2,high_latency,,,,0.00202265,int
0.3.2,7/2/17,11:48:17,6,0,50.04051032,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.05717743,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.09092024,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.1242639,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.1575973,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.1909307,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.2242641,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.2409308,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.27428021,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.30761361,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.34094701,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.37428041,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.39094711,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.42558175,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.45891515,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.49251274,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.52584614,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.54326684,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.57660024,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.61081399,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.64414739,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.6608141,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.6941475,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.72871199,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.76204539,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.77976761,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.81310101,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.84723763,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.88057104,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.88779841,pilot,abin,0.3.2,stimulus,w2nw,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.91390444,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.93157291,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.96490631,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,50.99915042,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,51.03248382,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,51.04915052,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,51.08333391,pilot,abin,0.3.2,stream_1,,normal,practice,,int
0.3.2,7/2/17,11:48:17,6,0,51.11666732,pilot,abin,0.3.2,stream_1,,normal,practice,,int
